CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,address,g_ad,g_lat,g_lon
Duluth,MN Power Plaza,MN,US,6/30/2018,hundreds,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20773/signup/?source=&s=,https://www.wdio.com/news/families-belong-together-rally-duluth-/4970451/,,,"Duluth , MN, US","Duluth, MN, USA",46.7866719,-92.1004852
Dunkirk,"Washington Park,",NY,US,6/30/2018,a large crowd,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,http://www.observertoday.com/news/page-one/2018/07/community-shows-support-for-separated-families-at-border/,,,"Dunkirk , NY, US","Dunkirk, NY 14048, USA",42.4795019,-79.3339324
Durango,Buckley Park,CO,US,6/30/2018,FB: 30,30,,30,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20575/signup/?source=&s=,https://www.facebook.com/events/251642718928224/,,,"Durango , CO, US","Durango, CO, USA",37.27528,-107.8800667
Durham ,,NC,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,,,,"Durham  , NC, US","Durham, NC, USA",35.9940329,-78.898619
East Haddam,Two Wrasslin' Cats,CT,US,6/30/2018,75 to 100,75,,100,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20691/signup/?source=&s=,https://www.newhavenindependent.org/index.php/branford/entry/families_belong_together_marches/,,,"East Haddam , CT, US","East Haddam, CT, USA",41.5034351,-72.4757767
East Meadow,Nassau County Correctional Facility,NY,US,6/30/2018,na,30,,40,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,via website,,,"East Meadow , NY, US","East Meadow, NY, USA",40.7139898,-73.5590157
East Quogue,East Quogue Park,NY,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/19973/signup/?source=&s=,,,,"East Quogue , NY, US","East Quogue, NY, USA",40.8406554,-72.5814814
East Setauket,,NY,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,http://longisland.news12.com/story/38547944/long-islanders-take-part-in-protests-over-immigration-policies,,,,"East Setauket , NY, US","Setauket- East Setauket, NY, USA",40.9293759,-73.1025502
Eastham,Windmill Green,MA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20667/signup/?source=&s=,,,,"Eastham , MA, US","Eastham, MA, USA",41.8299634,-69.9740361
Easthampton,Millside park,MA,US,6/30/2018,video,55,,55,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20341/signup/?source=&s=,https://www.facebook.com/events/427219994355567/permalink/428709027539997/,,,"Easthampton , MA, US","Easthampton, MA, USA",42.266757,-72.66898
Eau Claire,Eau Claire Wilson Park,WI,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20399/signup/?source=&s=,,,,"Eau Claire , WI, US","Eau Claire, WI, USA",44.811349,-91.4984941
Edinburg,Edinburg county court,TX,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20049/signup/?source=&s=,,,,"Edinburg , TX, US","Edinburg, TX, USA",26.3017374,-98.1633432
Edison,Oak Tree Pond Park,NJ,US,6/30/2018,picture,14,,14,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20298/signup/?source=&s=,https://www.facebook.com/photo.php?fbid=10155718021979639&set=pcb.10155718042484639&type=3&theater,,,"Edison , NJ, US","Edison, NJ, USA",40.5187154,-74.4120953
Edwards,Edwards Rest Stop,CO,US,6/30/2018,FB: 17,17,,17,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20702/signup/?source=&s=,https://www.facebook.com/events/991847374315932/,,,"Edwards , CO, US","Edwards, CO 81632, USA",39.644986,-106.5942
El Cajon,City Hall,CA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20675/signup/?source=&s=,,,,"El Cajon , CA, US","El Cajon, CA, USA",32.7947731,-116.9625269
El Paso,San Jacinto Plaza,TX,US,6/30/2018,about 1500,1500,,1500,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20092/signup/?source=&s=,https://eu.usatoday.com/story/news/nation-now/2018/06/30/families-belong-together-rallies-held-across-usa/747921002/,,,"El Paso , TX, US","El Paso, TX, TX, USA",31.8039824,-106.2051484
Elgin,Corner of Kimball Street and Grove Avenue,IL,US,6/30/2018,at least 150,150,,150,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20405/signup/?source=&s=,http://www.dailyherald.com/news/20180627/arlington-heights-elgin-other-suburbs-join-national-families-belong-together-rallies,,,"Elgin , IL, US","Elgin, IL, USA",42.0354084,-88.2825668
Ellensburg,"Rotary Pavilion, 104 East 4th Avenue",WA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20371/signup/?source=&s=,,,,"Ellensburg , WA, US","Ellensburg, WA, USA",46.9965144,-120.5478474
Elmira,Wisner Park,NY,US,6/30/2018,dozens,24,,24,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20500/signup/?source=&s=,https://eu.usatoday.com/story/news/nation-now/2018/06/30/families-belong-together-rallies-held-across-usa/747921002/,,,"Elmira , NY, US","Elmira, NY, USA",42.0897965,-76.8077338
Encinitas,Swami's Beach Park (above the beach),CA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20330/signup/?source=&s=,,,,"Encinitas , CA, US","Encinitas, CA, USA",33.0369867,-117.2919818
Englewood,Depot Square,NJ,US,6/30/2018,about 100,100,,100,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.app.com/story/news/new-jersey/2018/06/30/new-jersey-rallies-protest-families-being-separated-border/742305002/,,,,"Englewood , NJ, US","Englewood, NJ 07631, USA",40.8928771,-73.9726381
Essex Junction,5 Corners,VT,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20544/signup/?source=&s=,,,,"Essex Junction , VT, US","Essex Junction, Essex, VT, USA",44.4905433,-73.1112207
Eugene,"Kesey square, also known as Broadway Plaza",OR,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/19839/signup/?source=&s=,https://www.facebook.com/events/339766029883490/,,,"Eugene , OR, US","Eugene, OR, USA",44.0520691,-123.0867536
Eureka,,CA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20083/signup/?source=&s=,,,,"Eureka , CA, US","Eureka, CA, USA",40.8020712,-124.1636729
Evansville,Winfield K Denton Federal Building (Public Sidewalk),IN,US,6/30/2018,more than 200,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20343/signup/?source=&s=,https://www.usatoday.com/story/news/nation-now/2018/06/30/families-belong-together-rallies-held-across-usa/747921002/,,,"Evansville , IN, US","Evansville, IN, USA",37.9715592,-87.5710898
Everett,Snohomish County Superior Court,WA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20344/signup/?source=&s=,,,,"Everett , WA, US","Everett, WA, USA",47.9789848,-122.2020795
Fair Harbor,,NY,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,,,,"Fair Harbor , NY, US","Fair Harbor, Fire Island, NY, USA",40.6406235,-73.1843746
Fairbanks,Golden Heart Plaza,AK,US,6/30/2018,about 200,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20522/signup/?source=&s=,https://www.facebook.com/events/1909211695765918/,https://twitter.com/signaturedoc/status/1013215435947499521,,"Fairbanks , AK, US","Fairbanks, AK, USA",64.8377778,-147.7163888
Fairfield,"Sherman Green Gazebo, Downtown Fairfield",CT,US,6/30/2018,na,500,,500,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20072/signup/?source=&s=,https://www.facebook.com/events/234997540622355/,https://www.facebook.com/pg/fairfielddtc/photos/?tab=album&album_id=2070041189681017,high estimate taken from photo headcount,"Fairfield , CT, US","Fairfield, CT, USA",41.1408363,-73.2612615
Fairfield,Central Park Square,IA,US,6/30/2018,FB: 45,45,,45,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20535/signup/?source=&s=,https://www.facebook.com/events/176464366354908/,,,"Fairfield , IA, US","Fairfield, IA, USA",41.0076114,-91.9636914
Falmouth,Falmouth Village Green,MA,US,6/30/2018,about 100,100,,100,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20529/signup/?source=&s=,https://www.capenews.net/mashpee/news/immigration-activists-take-to-the-streets-of-falmouth/article_cf2a170e-0d72-5d11-8cc4-43a736d84b44.html,,,"Falmouth , MA, US","Falmouth, MA, USA",41.5532208,-70.6085886
Fargo,downtown Fargo Library,ND,US,6/30/2018,about 200,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://twitter.com/familiesbelong/status/1013179764176314368,https://www.wdaz.com/news/4467376-locals-take-part-national-families-belong-together-rallies,http://www.wday.com/news/4467376-locals-take-part-national-families-belong-together-rallies,,"Fargo , ND, US","Fargo, ND, USA",46.8771863,-96.7898034
Farmington,Farmington Post Office,ME,US,6/30/2018,about 200,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20102/signup/?source=&s=,https://www.centralmaine.com/2018/06/30/augusta-farmington-immigration-rallies-draw-hundreds/,,,"Farmington , ME, US","Farmington, ME, USA",44.6704998,-70.1512169
Farmington,in front of museum,NM,US,6/30/2018,more than 150,150,,150,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.usatoday.com/story/news/nation-now/2018/06/30/families-belong-together-rallies-held-across-usa/747921002/,,,,"Farmington , NM, US","Farmington, NM, USA",36.7280583,-108.2186856
Fayetteville,Town Center,AR,US,6/30/2018,almost a 1000,1000,,1000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/19952/signup/?source=&s=,https://5newsonline.com/2018/06/30/people-rally-in-fayetteville-against-family-separation/,,,"Fayetteville , AR, US","Fayetteville, AR, USA",36.082156,-94.1718542
Fire Island,,NY,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,,,,"Fire Island , NY, US","Fire Island, NY, USA",40.6475997,-73.1459474
Flagstaff,Flagstaff City Hall,AZ,US,6/30/2018,na,1000,,1000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20558/signup/?source=&s=,https://www.facebook.com/events/304958583376261/,https://twitter.com/333donna/status/1013212061310976000,,"Flagstaff , AZ, US","Flagstaff, AZ, USA",35.1982836,-111.651302
Flemington,courthouse,NJ,US,6/30/2018,hundreds,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together_attend1/search/,https://www.facebook.com/photo.php?fbid=10215239872282933&set=pcb.10215239872682943&type=3&theater,https://www.tapinto.net/towns/flemington-slash-raritan/articles/photos-in-flemington-hundreds-stage-protest-at,,"Flemington , NJ, US","Flemington, NJ 08822, USA",40.5123258,-74.8593318
Flint,The Downtown Flat Lot,MI,US,6/30/2018,over 200,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20348/signup/?source=&s=,http://www.wnem.com/story/38548861/families-belong-together-rally-held-in-flint,,,"Flint , MI, US","Flint, MI, USA",43.0125274,-83.6874562
Florence,Mobile Plaza (North Court Street @ East Mobile Street),AL,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20382/signup/?source=&s=,,,,"Florence , AL, US","Florence, AL, USA",34.79981,-87.677251
Ford Smith,74th Street (sidewalk in front of the post office),AR,US,6/30/2018,about 90,90,,90,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/19841/signup/?source=&s=,https://www.facebook.com/events/793056107557267/,http://www.swtimes.com/news/20180701/families-belong-together-movement-reaches-fort-smith,,"Ford Smith , AR, US","Fort Smith, AR, USA",35.3859242,-94.3985475
Fort Bragg,Town Hall,CA,US,6/30/2018,FB: 32,32,,32,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20026/signup/?source=&s=,https://www.facebook.com/events/866083180268269/,,,"Fort Bragg , CA, US","Fort Bragg, CA 95437, USA",39.445723,-123.8052935
Fort Gratiot,"Birchwood Mall, on the right of way not the mall itself",MI,US,6/30/2018,na,150,,150,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/19865/signup/?source=&s=,https://www.thetimesherald.com/story/news/local/2018/06/30/crowd-protests-trumps-immigration-policies/748170002/,https://twitter.com/KossackDoReMI/status/1013480058525233152,,"Fort Gratiot , MI, US","Fort Gratiot Twp, MI, USA",43.0386178,-82.476888
Fort Myers,Old Fort Myers County Court House,FL,US,6/30/2018,about 500,500,,500,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20439/signup/?source=&s=,https://eu.usatoday.com/story/news/nation-now/2018/06/30/families-belong-together-rallies-held-across-usa/747921002/,,,"Fort Myers , FL, US","Fort Myers, FL, USA",26.640628,-81.8723084
Fort Wayne,Allen County Courthouse Green,IN,US,6/30/2018,na,65,,65,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20434/signup/?source=&s=,Facebook,,Partial count estimated from photographs and video on facebook,"Fort Wayne , IN, US","Fort Wayne, IN, USA",41.079273,-85.1393513
Fort Worth,Tarrant County Court House,TX,US,6/30/2018,hundreds,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20316/signup/?source=&s=,https://www.star-telegram.com/news/local/community/fort-worth/article214112144.html,,,"Fort Worth , TX, US","Fort Worth, TX, USA",32.7554883,-97.3307658
Framingham,Memorial Building,MA,US,6/30/2018,between 200 and 300,200,,300,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20205/signup/?source=&s=,https://framinghamsource.com/index.php/2018/06/30/photo-of-the-day-hundreds-attend-framingham-families-belong-together-protest/,,,"Framingham , MA, US","Framingham, MA, USA",42.279286,-71.4161565
Frankfort,Breidert Green,IL,US,6/30/2018,hundreds,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/19923/signup/?source=&s=,https://patch.com/illinois/frankfort/splitting-families-border-not-what-us-protesters,,,"Frankfort , IL, US","Frankfort, IL, USA",41.4958665,-87.8486613
Franklin,"The Gazebo in Downtown Franklin, NC - Across from the Courthouse",NC,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20497/signup/?source=&s=,https://www.facebook.com/events/214089889212277/?active_tab=about,,,"Franklin , NC, US","Franklin, NC 28734, USA",35.1823171,-83.3815429
Frederick,Vista Shopping Center,MD,US,6/30/2018,250,250,,250,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20878/signup/?source=&s=,https://www.facebook.com/groups/71826634198/permalink/10157861059039199/,,,"Frederick , MD, US","Frederick, MD, USA",39.4142688,-77.4105409
Fremont,Veterans Park at Fremont Superior Court House,CA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20175/signup/?source=&s=,https://twitter.com/KenDenmead/status/1013106902140477440,,,"Fremont , CA, US","Fremont, CA, USA",37.5482697,-121.9885719
Fresno,Courthouse Park,CA,US,6/30/2018,about a thousand,1000,,1000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20014/signup/?source=&s=,http://kmph.com/news/local/hundreds-show-up-for-the-families-belong-together-rally,,,"Fresno , CA, US","Fresno, CA, USA",36.7377981,-119.7871247
Friday Harbor,San Juan county district court lawn,WA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/19968/signup/?source=&s=,,,,"Friday Harbor , WA, US","Friday Harbor, WA 98250, USA",48.5342662,-123.0171242
Gallup,East Historic Highway,NM,US,6/30/2018,FB: 24,24,,24,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,https://www.facebook.com/events/401871593660530/,,,"Gallup , NM, US","Gallup, NM, USA",35.5280783,-108.7425843
Gainesville,City Hall,FL,US,6/30/2018,more than 500,500,,500,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20001/signup/?source=&s=,http://www.gainesville.com/news/20180630/community-participates-in-national-march,,,"Gainesville , FL, US","Gainesville, FL, USA",29.6516344,-82.3248262
Galveston,4700 Seawall Blvd,TX,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20223/signup/?source=&s=,,,,"Galveston , TX, US","Galveston, TX, USA",29.3013479,-94.7976958
Gastonia,Martin Luther King Monunment,NC,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20751/signup/?source=&s=,,,,"Gastonia , NC, US","Gastonia, NC, USA",35.262082,-81.1873005
Geneva,Geneva Lakefront Visitors Center,NY,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/19986/signup/?source=&s=,,,,"Geneva , NY, US","Geneva, NY 14456, USA",42.8679836,-76.985557
Gilette,Lasting Legacy Park,WY,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20222/signup/?source=&s=,,,,"Gilette , WY, US","Gillette, WY, USA",44.2910915,-105.5022205
Glen Ridge,Glen Ridge Congregational Church,NJ,US,6/30/2018,more than 600,600,,600,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20136/signup/?source=&s=,https://www.app.com/story/news/new-jersey/2018/06/30/new-jersey-rallies-protest-families-being-separated-border/742305002/,https://www.northjersey.com/story/news/essex/glen-ridge/2018/06/30/glen-ridge-churches-rally-collect-migrant-families/748674002/,,"Glen Ridge , NJ, US","Glen Ridge, NJ 07028, USA",40.805378,-74.2037566
Glen Rock,Steps of Glen Rock Borough Hall,NJ,US,6/30/2018,picture,13,,15,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20492/signup/?source=&s=,https://www.facebook.com/photo.php?fbid=10155249813385728&set=pcb.10155249813450728&type=3&theater,,,"Glen Rock , NJ, US","Glen Rock, NJ 07452, USA",40.9628758,-74.1329207
Glens Falls,Rep. Stefanik's office,NY,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/19988/signup/?source=&s=,,,,"Glens Falls , NY, US","Glens Falls, NY, USA",43.3095164,-73.6440058
Glenview,Glenview Veteran's Memorial,IL,US,6/30/2018,approximately 150,150,,150,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20596/signup/?source=&s=,http://www.chicagotribune.com/suburbs/highland-park/news/ct-hpn-immigration-detention-protest-north-suburbs-tl-0705-story.html,,,"Glenview , IL, US","Glenview, IL, USA",42.0778065,-87.8223368
Glenwood Springs,Sayre Park,CO,US,6/30/2018,roughly 200,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20688/signup/?source=&s=,https://twitter.com/ArnMenconi/status/1013095921628917760,https://www.facebook.com/events/1006367579515218/,https://www.postindependent.com/news/photos-families-belong-together-march-and-rally-in-glenwood-springs/,"Glenwood Springs , CO, US","Glenwood Springs, CO 81601, USA",39.5505376,-107.3247762
Goshen,Elkhart County Courthouse Steps,IN,US,6/30/2018,FB: 210,210,,210,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20004/signup/?source=&s=,http://wsbt.com/news/local/families-belong-together-rallies-held-in-goshen-south-bend,https://www.facebook.com/events/769821860075006/,,"Goshen , IN, US","Goshen, IN, USA",41.5822716,-85.8344383
Gouldsboro,,ME,US,6/30/2018,more than 75,75,,75,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://twitter.com/OldestVocation/status/1013171760454303744,,,,"Gouldsboro , ME, US","Gouldsboro, ME, USA",44.47852,-68.039543
Granbury,Hood County Courthouse,TX,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/19900/signup/?source=&s=,,,,"Granbury , TX, US","Granbury, TX, TX, USA",32.3818876,-97.87216
Grand Forks,Parking Garage behind the County Office Building,ND,US,6/30/2018,between 130 and 150,130,,150,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20295/signup/?source=&s=,http://www.grandforksherald.com/news/government-and-politics/4467238-community-gathers-families-belong-together-rally-grand-forks,,,"Grand Forks , ND, US","Grand Forks, ND, USA",47.9252568,-97.0328547
Grand Junction,Mesa County Old Courthouse,CO,US,6/30/2018,FB: 68,68,,68,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20468/signup/?source=&s=,https://www.facebook.com/events/1865573850171693/,,,"Grand Junction , CO, US","Grand Junction, CO, USA",39.0638705,-108.5506486
Grand Marais,Harbor Park,MN,US,6/30/2018,over 100; 100 to 125,100,,125,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,http://www.cookcountynews-herald.com/news/2018-07-07/General_News/Families_Belong_Together_rally_draws_over_100.html,https://twitter.com/bryanhansel/status/1013107431323394048,,,"Grand Marais , MN, US","Grand Marais, MN 55604, USA",47.7504469,-90.3342727
Grand Rapids,Rosa Parks Circle,MI,US,6/30/2018,over 600,600,,600,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20057/signup/?source=&s=,https://www.wzzm13.com/article/news/hundreds-march-in-west-michigan-calling-for-immigrant-families-to-be-reunited/69-569466095,,,"Grand Rapids , MI, US","Grand Rapids, MI, USA",42.9633599,-85.6680863
Grand Rapids,"Central School, Downtown Grand Rapids",MN,US,6/30/2018,FB: 14; around 150,14,,150,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20031/signup/?source=&s=,https://www.facebook.com/events/199103104247756/,http://www.grandrapidsmn.com/free_press/rally-for-families-draws-large-crowd/article_46c314bc-7edf-11e8-aafb-f3058680df69.html,,"Grand Rapids , MN, US","Grand Rapids, MN 55744, USA",47.2371658,-93.5302142
Grants Pass,,OR,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/,,,,"Grants Pass , OR, US","Grants Pass, OR, USA",42.4390069,-123.3283925
Granville,Town Green,MA,US,6/30/2018,pic,32,,32,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20907/signup/?source=&s=,https://twitter.com/VoicesRisingTo1/status/1013063422257385472,https://twitter.com/VoicesRisingTo1/status/1013039946377125889,,"Granville , MA, US","Granville, MA, USA",42.0996545,-72.9224329
Grass Valley,Brunswick & Sutton,CA,US,6/30/2018,hundreds,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20623/signup/?source=&s=,https://www.theunion.com/news/local-news/families-together-draws-hundreds-in-grass-valley-photo-gallery/,,,"Grass Valley , CA, US","Grass Valley, CA, USA",39.2190608,-121.0610606
Great Barrington,"Corner of Main Street and State Road in front of the ""GB"" shrubbery",MA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20543/signup/?source=&s=,,,,"Great Barrington , MA, US","Great Barrington, MA, USA",42.1959798,-73.362008
Great Falls,Civic Center Steps,MT,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20285/signup/?source=&s=,http://www.kulr8.com/story/38549026/families-belong-together-rally-up-in-great-falls,http://www.khq.com/story/38549026/families-belong-together-rally-up-in-great-falls,,"Great Falls , MT, US","Great Falls, MT, USA",47.5052849,-111.3007715
