event,location,zipcode,x,y,flag,_Y,_X,_ID,dup
HUDDLE IN IL-8,Hoffman Estates IL,60169,42.0493,-88.1065,,42.0493,-88.1065,2103,0
HUDDLE NORTHERN NEVADA,Minden NV,89423,39.0218,-119.7314,,39.0218,-119.7314,2111,0
HUDDLE UP PHILLY,Philadelphia PA,19106,39.9474,-75.1473,,39.9474,-75.1473,2411,0
HUDSON CAN! (COMMUNITY ACTION NETWORK),Hoboken NJ,07030,40.7445,-74.0329,,40.7445,-74.0329,2277,0
HUDSON CIVIC ACTION,Weehawken NJ,07086,40.7681,-74.02079999999999,,40.7681,-74.02079999999999,2277,0
HUDSON PRARIE INDIVISIBLE,Town of Hudson WI,54016,44.9842,-92.72709999999999,,44.9842,-92.72709999999999,1263,0
HUDSON RESISTANCE,Hudson NY,12534,42.247,-73.7552,,42.247,-73.7552,2171,0
HUDSON VALLEY STRONG- INDIVISIBLE,Rhinebeck NY,12572,41.9272,-73.8888,,41.9272,-73.8888,2646,0
HUDSONWISC INDIVISIBLE,Hudson WI,54016,44.9842,-92.72709999999999,,44.9842,-92.72709999999999,1263,0
HUERFANO INDIVISIBLE,La Veta CO,81055,37.5117,-105.0575,,37.5117,-105.0575,2094,0
HUI ALOHA O MAUI,Kihei HI,96753,20.7441,-156.4475,,20.7441,-156.4475,731,0
HUMAN DIGNITY ADVOCATES OF CROOK COUNTY,Powell Butte OR,97753,44.2415,-121.0113,,44.2415,-121.0113,3057,0
HUMAN RIGHTS CAFE,Saxtons River VT,05154,43.1379,-72.5098,,43.1379,-72.5098,1032,0
"HUMAN-SCALE NYC AKA, ALLIANCE FOR A HUMAN-SCALE CITY",New York NY,10013,40.7185,-74.0025,,40.7185,-74.0025,940,0
HUMANISTS OF LONG ISLAND (HOLI),Garden City NY,11530,40.7245,-73.64870000000001,,40.7245,-73.64870000000001,774,0
HUMBOLDTLOGAN INDIVISIBLE,Chicago IL,60647,41.9209,-87.7043,,41.9209,-87.7043,2103,0
HUNTER INDIVISIBLE,Brooklyn NY,11238,40.679,-73.9644,,40.679,-73.9644,2283,0
HUNTER MILL HUDDLE,Vienna VA,22182,38.928,-77.2649,,38.928,-77.2649,2962,0
HUNTINGTON HEAR OUR VOICE HUDDLE,Huntington IN,46750,40.8811,-85.50539999999999,,40.8811,-85.50539999999999,746,0
HUNTSVILLE PROGRESSIVE LETTER WRITERS,Huntsville AL,35811,34.7789,-86.5438,,34.7789,-86.5438,2556,0
HURST INDIVISIBLE,Hurst TX,76053,32.8211,-97.1756,,32.8211,-97.1756,2102,0
HVL HUDDLE,Hendersonville NC,28739,35.3192,-82.5,,35.3192,-82.5,2397,0
"HYDE PARK INDIVISIBLE âÃ©âÃ¡TX10, TX25",Austin TX,78751,30.3093,-97.7242,,30.3093,-97.7242,1531,0
I AM DOING THIS AS AN INDIVIDUAL AND WILLING TO JOIN A GROUP,Longwood FL,32779,28.7168,-81.4126,,28.7168,-81.4126,1918,0
I AM MAWD,Stamford CT,06905,41.0888,-73.54349999999999,,41.0888,-73.54349999999999,2005,0
I-ACT INDIVISIBLE D26,Flower Mound TX,75022,33.0268,-97.1193,,33.0268,-97.1193,3131,0
ICTINDIVISIBLE,Wichita KS,67209,37.6779,-97.4235,,37.6779,-97.4235,1002,0
IDAHO VETERANS INDIVISIBLE,Boise ID,83706,43.5885,-116.191,,43.5885,-116.191,2696,0
IF YOU ONLY DO ONE THING TODAY,Decatur GA,30033,33.8123,-84.28189999999999,,33.8123,-84.28189999999999,832,0
IGNITE: WOMEN ON FIRE,Marshalltown IA,50158,42.0405,-92.9127,,42.0405,-92.9127,141,0
"IINDIVISIBLE NASSAU COUNTY, LONG ISLAND",Massapequa NY,11758,40.6682,-73.4588,,40.6682,-73.4588,774,0
ILLINOIS VALLEY INDIVISIBLE,Cave Junction OR,97523,42.1348,-123.6272,,42.1348,-123.6272,512,0
IMPACT HUB OAKLAND INDIVISIBLE,Oakland CA,94612,37.8085,-122.2668,,37.8085,-122.2668,2716,0
IMPEACH DONALD J TRUMP,East Stroudsburg PA,18302,41.0936,-75.1187,,41.0936,-75.1187,1746,0
INDEPENDENTS FOR PROGRESSIVE ACTION (IPA),West Linn OR,97068,45.3669,-122.648,,45.3669,-122.648,1831,0
"INDEVISIBLE - PORT ANGELES, WASHINGTON",Port Angeles WA,98362,48.1065,-123.4384,,48.1065,-123.4384,2159,0
INDIANA ADA,Goshen IN,46528,41.6248,-85.8391,,41.6248,-85.8391,1125,0
INDIANA VOTERS FOR CHANGE - DISTRICT 2,Granger IN,46530,41.7427,-86.14109999999999,,41.7427,-86.14109999999999,2422,0
INDISIBLE TANGLEWOOD HOUSTON TX,Houston TX,77057,29.7422,-95.4903,,29.7422,-95.4903,2430,0
INDIVIDUAL - FLORIDA,North Miami Beach FL,33160,25.9449,-80.1391,,25.9449,-80.1391,2823,0
INDIVISABLE DISABLED AMERICANS,Stamford CT,06902,41.0602,-73.5445,,41.0602,-73.5445,2005,0
INDIVISABLE EL SOBRANTE,El Sobrante CA,94803,37.9693,-122.2901,,37.9693,-122.2901,1703,0
INDIVISABLE MALAKOFF,Malakoff TX,75148,32.1705,-96.006,,32.1705,-96.006,2803,0
INDIVISABLE NATCHITOCHES,Natchitoches LA,71457,31.7617,-93.0916,,31.7617,-93.0916,2574,0
INDIVISABLE WALLA WALLA COFFEE KLATCH,Walla Walla WA,99362,46.0614,-118.3315,,46.0614,-118.3315,1383,0
INDIVISBLE BEAR CANYON,Albuquerque NM,87111,35.1347,-106.5222,,35.1347,-106.5222,2290,0
INDIVISBLE BEEKMAN,Poughquag NY,12570,41.6194,-73.67829999999999,,41.6194,-73.67829999999999,2646,0
INDIVISBLE BELFAST,Belfast ME,04915,44.4354,-69.01479999999999,,44.4354,-69.01479999999999,758,0
INDIVISBLE COLORADO 6,Denver CO,80231,39.6793,-104.8843,,39.6793,-104.8843,917,0
INDIVISBLE DARTMOUTH,Hanover NH,03755,43.7045,-72.285,,43.7045,-72.285,3204,0
INDIVISBLE MICHIGAN 8TH DISTRICT- INGHAM,Lansing MI,48910,42.7008,-84.54900000000001,,42.7008,-84.54900000000001,1151,0
INDIVISBLE MN CD-6,Minneapolis MN,55434,45.1681,-93.2504,,45.1681,-93.2504,3139,0
INDIVISBLE SC5 CHESTER COUNTY,Chester SC,29706,34.7149,-81.2186,,34.7149,-81.2186,619,0
INDIVISBLE SD32/HD63&64,Waverly IA,50677,42.7748,-92.404,,42.7748,-92.404,562,0
INDIVISBLE WOMEN IN AMERICA,Ventura CA,93004,34.2788,-119.1651,,34.2788,-119.1651,1672,0
INDIVISBLE WOMEN-CHICAGO,Chicago IL,60626,42.0095,-87.66889999999999,,42.0095,-87.66889999999999,2103,0
INDIVISIBE CD # 20,Pacific Grove CA,93950,36.6167,-121.922,,36.6167,-121.922,246,0
INDIVISIBILE NC 36,Cary NC,27518,35.7299,-78.7735,,35.7299,-78.7735,3037,0
"INDIVISIBLE ""WE ALL BELONG """,Lawrence MI,49064,42.2076,-86.05249999999999,,42.2076,-86.05249999999999,2566,0
INDIVISIBLE & UNAPOLOGETIC - LOS ANGELES,Los Angeles CA,90043,33.9871,-118.3321,,33.9871,-118.3321,3006,0
INDIVISIBLE (LIBERTY TREE ) TX-6,Crowley TX,76036,32.5814,-97.3703,,32.5814,-97.3703,2102,0
INDIVISIBLE (LIBERTY TREE) TEXAS,Plano TX,75093,33.0299,-96.7889,,33.0299,-96.7889,1054,0
INDIVISIBLE (LIBERTY TREE) TX 3,Plano TX,75093,33.0299,-96.7889,,33.0299,-96.7889,1054,0
INDIVISIBLE (SW HOUSTON & FRIENDS DIVISION),Houston TX,77072,29.699,-95.58620000000001,,29.699,-95.58620000000001,2430,0
INDIVISIBLE - ACT NOW,Newark DE,19702,39.6349,-75.69929999999999,,39.6349,-75.69929999999999,1108,0
INDIVISIBLE - ACTION TOGETHER PEE DEE,Florence SC,29501,34.1838,-79.7728,,34.1838,-79.7728,894,0
"INDIVISIBLE - ALEXANDER COUNTY, NC",Taylorsville NC,28681,35.901,-81.2124,,35.901,-81.2124,385,0
INDIVISIBLE - CENTRAL PENNSYLVANIA,Sheridan OR,97378,45.0897,-123.4003,,45.0897,-123.4003,1527,0
INDIVISIBLE - COLORADO'S DISTRICT 4,Castle Rock CO,80104,39.3722,-104.8561,,39.3722,-104.8561,1836,0
INDIVISIBLE - CROWN OF MAINE,Presque Isle ME,04769,46.6842,-68.01179999999999,,46.6842,-68.01179999999999,55,0
INDIVISIBLE - DISTRICT 7 AND 10,Rahway NJ,07065,40.6087,-74.28189999999999,,40.6087,-74.28189999999999,2534,0
INDIVISIBLE - IREDELL CO,Statesville NC,28677,35.799,-80.89400000000001,,35.799,-80.89400000000001,598,0
INDIVISIBLE - JAVA COALITION,Hollywood FL,33019,26.007,-80.1219,,26.007,-80.1219,2950,0
INDIVISIBLE - LA RESISTANCE,Los Angeles CA,90036,34.0699,-118.3492,,34.0699,-118.3492,3006,0
INDIVISIBLE - MEDIA CITY,Glendale CA,91201,34.1716,-118.2899,,34.1716,-118.2899,3006,0
INDIVISIBLE - MENAHGA/PR,Menahga MN,56464,46.7572,-95.0714,,46.7572,-95.0714,1734,0
INDIVISIBLE - MENIFEE,Sun City CA,92586,33.7044,-117.1969,,33.7044,-117.1969,2215,0
INDIVISIBLE - NBTX,New Braunfels TX,78130,29.7229,-98.0742,,29.7229,-98.0742,781,0
"INDIVISIBLE - NOME, ALASKA",Nome AK,99762,64.50109999999999,-165.4064,,64.50109999999999,-165.4064,2702,0
INDIVISIBLE - NORTH EAST IOWA,Osage IA,50461,43.2872,-92.81440000000001,,43.2872,-92.81440000000001,558,0
INDIVISIBLE - OAK RIDGE,Oak Ridge TN,37830,36.0159,-84.2623,,36.0159,-84.2623,1293,0
"INDIVISIBLE - RANDOLPH COUNTY, IL",Rockwood IL,62280,37.8322,-89.62139999999999,,37.8322,-89.62139999999999,3173,0
"INDIVISIBLE - RESISTANCE IN EASTON, CT",Easton CT,06612,41.2523,-73.2871,,41.2523,-73.2871,2005,0
INDIVISIBLE - SPIRITUAL ACTIVISTS SEATTLE,Seattle WA,98105,47.6633,-122.3022,,47.6633,-122.3022,482,0
INDIVISIBLE - SUNAPEE AREA UNITES,Sunapee NH,03782,43.3868,-72.095,,43.3868,-72.095,2390,0
INDIVISIBLE - THE BURG AND BEYOND,Saint Petersburg FL,33704,27.7954,-82.6373,,27.7954,-82.6373,1896,0
INDIVISIBLE - THE VERDES,Rio Verde AZ,85263,33.7225,-111.6757,,33.7225,-111.6757,1424,0
INDIVISIBLE - UPTOWN CHARLOTTE,Charlotte NC,28203,35.2081,-80.8583,,35.2081,-80.8583,2834,0
INDIVISIBLE - VIRGINIA 8TH,Springfield VA,22150,38.7797,-77.1866,,38.7797,-77.1866,2962,0
INDIVISIBLE - WA-03,Camas WA,98607,45.6058,-122.4142,,45.6058,-122.4142,1195,0
INDIVISIBLE -SW METRO DENVER,Littleton CO,80128,39.5918,-105.0832,,39.5918,-105.0832,1409,0
INDIVISIBLE 11TH,San Angelo TX,76903,31.4707,-100.4386,,31.4707,-100.4386,43,0
INDIVISIBLE 17 QUAD CITIES,Cambridge IL,61238,41.3114,-90.1805,,41.3114,-90.1805,590,0
"INDIVISIBLE 18TH LEGISLATIVE DISTRICT DEMOCRATS, WA",Vancouver WA,98685,45.7162,-122.6899,,45.7162,-122.6899,1195,0
INDIVISIBLE 2.9,Los Angeles CA,90005,34.0585,-118.3012,,34.0585,-118.3012,3006,0
INDIVISIBLE 2017,Mercer Island WA,98040,47.5603,-122.2281,,47.5603,-122.2281,482,0
INDIVISIBLE 25,Austin TX,78703,30.2907,-97.76479999999999,,30.2907,-97.76479999999999,1531,0
INDIVISIBLE 30,Studio City CA,91604,34.143,-118.3913,,34.143,-118.3913,3006,0
INDIVISIBLE 305,Miami FL,33138,25.8521,-80.18210000000001,,25.8521,-80.18210000000001,2823,0
INDIVISIBLE 32812,Orlando FL,32812,28.4998,-81.3288,,28.4998,-81.3288,486,0
INDIVISIBLE 3RD CONGRESSIONAL DISTRICT MICHIGAN,Wyoming MI,49509,42.9134,-85.70529999999999,,42.9134,-85.70529999999999,1728,0
INDIVISIBLE 42,Corona CA,92882,33.8419,-117.6043,,33.8419,-117.6043,2215,0
INDIVISIBLE 49,Solana Beach CA,92075,32.9937,-117.2598,,32.9937,-117.2598,2558,0
INDIVISIBLE 5-10,Lake City IA,51449,42.2705,-94.7458,,42.2705,-94.7458,2516,0
INDIVISIBLE 505,Albuquerque NM,87109,35.1506,-106.569,,35.1506,-106.569,2290,0
INDIVISIBLE 515,Des Moines IA,50312,41.5855,-93.67189999999999,,41.5855,-93.67189999999999,365,0
INDIVISIBLE 518: JUSTICE FOR ALL,Niskayuna NY,12309,42.8091,-73.8693,,42.8091,-73.8693,1958,0
INDIVISIBLE 535,Gila NM,88038,32.9659,-108.5767,,32.9659,-108.5767,778,0
INDIVISIBLE 5TH DISTRICT,Atlanta GA,30306,33.786,-84.3514,,33.786,-84.3514,1402,0
INDIVISIBLE 605,Sioux Falls SD,57110,43.5486,-96.6332,,43.5486,-96.6332,16,0
INDIVISIBLE 614,Dublin OH,43017,40.1093,-83.1146,,40.1093,-83.1146,2442,0
INDIVISIBLE 6TH DISTRICT HEALTHCARE GROUP,Ormond Beach FL,32176,29.3222,-81.05840000000001,,29.3222,-81.05840000000001,1967,0
INDIVISIBLE 831,Monterey CA,93940,36.5802,-121.8443,,36.5802,-121.8443,246,0
INDIVISIBLE 86.45.25,Winthrop WA,98862,48.4756,-120.1805,,48.4756,-120.1805,866,0
INDIVISIBLE 916,Sacramento CA,95826,38.5539,-121.3693,,38.5539,-121.3693,2009,0
INDIVISIBLE 92807,Anaheim CA,92807,33.8544,-117.7858,,33.8544,-117.7858,1673,0
INDIVISIBLE 97415,Brookings OR,97415,42.0526,-124.284,,42.0526,-124.284,667,0
INDIVISIBLE @3,Hilo HI,96720,19.7025,-155.0939,,19.7025,-155.0939,752,0
INDIVISIBLE ACADIA,Southwest Harbor ME,04679,44.2823,-68.3265,,44.2823,-68.3265,684,0
INDIVISIBLE ACADIANA,Lafayette LA,70518,30.1219,-91.9502,,30.1219,-91.9502,1518,0
INDIVISIBLE ACREAGE AND LOXAHATCHEE,West Palm Beach FL,33412,26.8055,-80.2482,,26.8055,-80.2482,1009,0
INDIVISIBLE ACTION,Seattle WA,98117,47.6873,-122.3772,,47.6873,-122.3772,482,0
INDIVISIBLE ACTION - PA 4TH DISTRICT,Hanover PA,17331,39.7943,-76.9812,,39.7943,-76.9812,3030,0
INDIVISIBLE ACTION SEATTLE,Seattle WA,98103,47.6733,-122.3426,,47.6733,-122.3426,482,0
INDIVISIBLE ACTION SOUTHWEST FLORIDA,Punta Gorda FL,33955,26.824,-81.9547,,26.824,-81.9547,1680,0
INDIVISIBLE ACTION TAMPA BAY,Tampa FL,33603,27.9845,-82.46299999999999,,27.9845,-82.46299999999999,3223,0
INDIVISIBLE ACTIONS SOUTHEND,Seattle WA,98146,47.4995,-122.3603,,47.4995,-122.3603,482,0
INDIVISIBLE ACTON,Acton MA,01720,42.4751,-71.4483,,42.4751,-71.4483,3210,0
INDIVISIBLE ADAMS CO IL,Quincy IL,62301,39.9307,-91.3763,,39.9307,-91.3763,2324,0
INDIVISIBLE ADK PATIENT ACTION NETWORK,Queensbury NY,12804,43.329,-73.6818,,43.329,-73.6818,3040,0
INDIVISIBLE ADVOCACY,Hopkinton MA,01748,42.219,-71.53019999999999,,42.219,-71.53019999999999,3210,0
INDIVISIBLE ADVOCATES FOR HUMANITY OCEANA/MASON,Ludington MI,49431,43.9688,-86.44029999999999,,43.9688,-86.44029999999999,257,0
"INDIVISIBLE AGAINST HATE, SOUTH JERSEY",Mantua NJ,08051,39.787,-75.1785,,39.787,-75.1785,3138,0
INDIVISIBLE AGAINST TRUMP,Pell City AL,35128,33.5873,-86.3366,,33.5873,-86.3366,867,0
INDIVISIBLE AGAINST TRUMP - CENTRAL FLORIDA,Orlando FL,32803,28.5559,-81.3535,,28.5559,-81.3535,486,0
INDIVISIBLE ALABAMA - DISTRICT 1,Mobile AL,36526,30.6197,-87.8895,,30.6197,-87.8895,532,0
INDIVISIBLE ALAMEDA COUNTY,Fremont CA,94539,37.5176,-121.9287,,37.5176,-121.9287,2716,0
INDIVISIBLE ALASKA,Palmer AK,99645,61.6303,-148.9872,,61.6303,-148.9872,2432,0
INDIVISIBLE ALBANY,Rensselaer NY,12144,42.6359,-73.72190000000001,,42.6359,-73.72190000000001,2413,0
INDIVISIBLE ALL POINTS SAN DIEGO,San Diego CA,92131,32.9123,-117.0898,,32.9123,-117.0898,2558,0
INDIVISIBLE ALLEN,Allen TX,75002,33.0934,-96.6454,,33.0934,-96.6454,1054,0
INDIVISIBLE ALLEN TEXAS,Allen TX,75002,33.0934,-96.6454,,33.0934,-96.6454,1054,0
INDIVISIBLE AMARILLO @,Amarillo TX,79110,35.1545,-101.8641,,35.1545,-101.8641,1649,0
INDIVISIBLE AMBASSADORS,Denver CO,80218,39.7327,-104.9717,,39.7327,-104.9717,2045,0
INDIVISIBLE AMERICAN UNIVERSITY,Washington DC,20016,38.9381,-77.086,,38.9381,-77.086,2713,0
INDIVISIBLE AMES,Ames IA,50014,42.0486,-93.69450000000001,,42.0486,-93.69450000000001,1000,0
INDIVISIBLE ANCHORAGE,Anchorage AK,99501,61.2116,-149.8761,,61.2116,-149.8761,2493,0
INDIVISIBLE AND STRONG!,Tucson AZ,85715,32.2519,-110.82,,32.2519,-110.82,1006,0
INDIVISIBLE ANDERSON SC,Anderson SC,29625,34.5271,-82.70869999999999,,34.5271,-82.70869999999999,947,0
INDIVISIBLE ANDERSONVILLE | ACT 2018,Chicago IL,60640,41.9719,-87.66240000000001,,41.9719,-87.66240000000001,2103,0
INDIVISIBLE ANDOVER,Andover MA,01810,42.6496,-71.15649999999999,,42.6496,-71.15649999999999,1787,0
INDIVISIBLE ANKENY,Ankeny IA,50023,41.7194,-93.6266,,41.7194,-93.6266,365,0
INDIVISIBLE ANTELOPE,Antelope CA,95843,38.7159,-121.3648,,38.7159,-121.3648,2009,0
INDIVISIBLE ANTELOPE VALLEY,Lancaster CA,93534,34.6909,-118.1491,,34.6909,-118.1491,3006,0
INDIVISIBLE APPALACHIAN OHIO,Shade OH,45776,39.2129,-82.0218,,39.2129,-82.0218,2619,0
INDIVISIBLE ARIZONA,Chandler AZ,85226,33.3092,-111.9198,,33.3092,-111.9198,1424,0
INDIVISIBLE ARIZONAS9,Tempe AZ,85282,33.3917,-111.9249,,33.3917,-111.9249,1424,0
INDIVISIBLE ARLINGTON TX,Fort Worth TX,76112,32.7493,-97.21810000000001,,32.7493,-97.21810000000001,2102,0
INDIVISIBLE ARLINGTON VA,Arlington VA,22202,38.8565,-77.0592,,38.8565,-77.0592,1379,0
INDIVISIBLE ARMONK,Armonk NY,10504,41.136,-73.7009,,41.136,-73.7009,1740,0
INDIVISIBLE ARMSTRONG,Ford City PA,16226,40.7384,-79.51220000000001,,40.7384,-79.51220000000001,1063,0
INDIVISIBLE ARROYO SECO,Pasadena CA,91104,34.1678,-118.1261,,34.1678,-118.1261,3006,0
INDIVISIBLE ASHEVILLE/WNC,Asheville NC,28801,35.5971,-82.5565,,35.5971,-82.5565,2308,0
INDIVISIBLE ASHLAND,Ashland KY,41101,38.4722,-82.6461,,38.4722,-82.6461,1319,0
INDIVISIBLE ASHLAND @,Ashland WI,54806,46.5586,-90.7388,,46.5586,-90.7388,2634,0
"INDIVISIBLE ASHTABULA COUNTY, MOVING FORWARD TOGETHER",Conneaut OH,44030,41.9345,-80.58029999999999,,41.9345,-80.58029999999999,3089,0
INDIVISIBLE ASPEN,Woody Creek CO,81656,39.2831,-106.8985,,39.2831,-106.8985,2183,0
INDIVISIBLE AT MT BALDY,Mt Baldy CA,91759,33.7866,-118.2987,,33.7866,-118.2987,3006,0
INDIVISIBLE ATHENS,Winder GA,30680,33.9985,-83.7115,,33.9985,-83.7115,350,0
INDIVISIBLE ATHENS ALABAMA,Athens AL,35613,34.8317,-86.8867,,34.8317,-86.8867,1873,0
INDIVISIBLE ATHOL,Athol MA,01331,42.5959,-72.22669999999999,,42.5959,-72.22669999999999,2036,0
INDIVISIBLE ATL,Atlanta GA,30307,33.7691,-84.336,,33.7691,-84.336,832,0
INDIVISIBLE AUBURN,Auburn AL,36832,32.592,-85.5189,,32.592,-85.5189,2148,0
"INDIVISIBLE AUBURN, CA",Auburn CA,95603,38.9115,-121.08,,38.9115,-121.08,2443,0
INDIVISIBLE AUSTIN,Austin TX,78731,30.3471,-97.76090000000001,,30.3471,-97.76090000000001,1531,0
INDIVISIBLE AZ CD 9,Phoenix AZ,85014,33.5103,-112.0556,,33.5103,-112.0556,1424,0
INDIVISIBLE AZCD5,Gilbert AZ,85295,33.3054,-111.7408,,33.3054,-111.7408,1424,0
INDIVISIBLE BADASS ACTIVISTS IN THE PIONEER VALLEY,Northampton MA,01060,42.3223,-72.6313,,42.3223,-72.6313,2476,0
INDIVISIBLE BAINBRIDGE,Bainbridge Island WA,98110,47.6478,-122.538,,47.6478,-122.538,3222,0
INDIVISIBLE BAINBRIDGE ISLAND,Bainbridge Island WA,98110,47.6478,-122.538,,47.6478,-122.538,3222,0
INDIVISIBLE BAKKEN,New Town ND,58763,47.9718,-102.4716,,47.9718,-102.4716,1453,0
INDIVISIBLE BALTIMORE,Baltimore MD,21212,39.3626,-76.61,,39.3626,-76.61,1211,0
INDIVISIBLE BANNOCKBURN,Bethesda MD,20817,38.9896,-77.1538,,38.9896,-77.1538,1168,0
INDIVISIBLE BARBOURVILLE,Barbourville KY,40906,36.8665,-83.8888,,36.8665,-83.8888,1128,0
INDIVISIBLE BARRE AND BEYOND,Barre VT,05641,44.1945,-72.4936,,44.1945,-72.4936,2265,0
INDIVISIBLE BARRINGTON - RHODE ISLAND,Barrington RI,02806,41.7443,-71.3175,,41.7443,-71.3175,3145,0
INDIVISIBLE BATON ROUGE,Baton Rouge LA,70820,30.3795,-91.1671,,30.3795,-91.1671,1017,0
INDIVISIBLE BATTLE CREEK,Battle Creek MI,49017,42.3173,-85.1782,,42.3173,-85.1782,3049,0
INDIVISIBLE BAYSHORE,Atlantic Highlands NJ,07716,40.4015,-74.0309,,40.4015,-74.0309,2335,0
INDIVISIBLE BELLINGHAM,Bellingham WA,98225,48.749,-122.4887,,48.749,-122.4887,2203,0
INDIVISIBLE BELMONT,Belmont MA,02478,42.3959,-71.17870000000001,,42.3959,-71.17870000000001,3210,0
INDIVISIBLE BEMIDJI,Bemidji MN,56601,47.572,-94.8013,,47.572,-94.8013,578,0
INDIVISIBLE BEND,Bend OR,97702,44.0223,-121.2985,,44.0223,-121.2985,1549,0
INDIVISIBLE BENNINGTON VT,Bennington VT,05201,42.8827,-73.1923,,42.8827,-73.1923,2228,0
"INDIVISIBLE BENTON COUNTY, OREGON",Corvallis Oregon,97330,44.5904,-123.2722,,44.5904,-123.2722,1345,0
INDIVISIBLE BERKELEY,Berkeley CA,94702,37.8656,-122.2851,,37.8656,-122.2851,2716,0
INDIVISIBLE BERKELEY ALLY GROUP,Berkeley CA,94703,37.863,-122.2749,,37.863,-122.2749,2716,0
INDIVISIBLE BERKS,Reading PA,19610,40.338,-75.97799999999999,,40.338,-75.97799999999999,2904,0
INDIVISIBLE BERKSHIRES,Great Barrington MA,01230,42.1959,-73.36069999999999,,42.1959,-73.36069999999999,1132,0
INDIVISIBLE BERKSHIRES/ BERKSHIRE WOMEN'S ACTION GROUP,Great Barrington MA,01230,42.1959,-73.36069999999999,,42.1959,-73.36069999999999,1132,0
INDIVISIBLE BETWEEN THE LAKES,Lodi NY,14860,42.5966,-76.8339,,42.5966,-76.8339,62,0
INDIVISIBLE BIG HORN AND SHERIDAN,Big Horn WY,82833,44.6531,-107.0247,,44.6531,-107.0247,1560,0
INDIVISIBLE BINGHAMTON,Binghamton NY,13903,42.0811,-75.8977,,42.0811,-75.8977,1957,0
INDIVISIBLE BIRMINGHAM,Birmingham MI,48009,42.5444,-83.2133,,42.5444,-83.2133,3012,0
INDIVISIBLE BLACK MOUNTAIN,Black Mountain NC,28711,35.5986,-82.2902,,35.5986,-82.2902,2308,0
INDIVISIBLE BLAINE COUNTY,Hailey ID,83333,43.5239,-114.3064,,43.5239,-114.3064,757,0
INDIVISIBLE BLAINE COUNTY IDAHO,Hailey ID,83333,43.5239,-114.3064,,43.5239,-114.3064,757,0
INDIVISIBLE BLAIR COUNTY,Altoona PA,16601,40.5209,-78.4089,,40.5209,-78.4089,1323,0
INDIVISIBLE BLOOMINGTON & 9TH DISTRICT,Bloomington IN,47401,39.1401,-86.50830000000001,,39.1401,-86.50830000000001,3163,0
INDIVISIBLE BLUE DOT HUDSON,Hudson NY,12534,42.247,-73.7552,,42.247,-73.7552,2171,0
INDIVISIBLE BOISE,Boise ID,83712,43.6023,-116.1649,,43.6023,-116.1649,2696,0
INDIVISIBLE BOISE CHAPTER ONE,Boise ID,83713,43.634,-116.3419,,43.634,-116.3419,2696,0
INDIVISIBLE BOOTHBAY,Boothbay ME,04537,43.8945,-69.62730000000001,,43.8945,-69.62730000000001,2875,0
INDIVISIBLE BOROS AND BEYOND,Northboro MA,01532,42.3182,-71.6464,,42.3182,-71.6464,2036,0
INDIVISIBLE BOROUGHS & BEYOND,Northboro MA,01532,42.3182,-71.6464,,42.3182,-71.6464,2036,0
INDIVISIBLE BOSTON TAKING ON TRUMP,Somerville MA,02144,42.4003,-71.1221,,42.4003,-71.1221,3210,0
INDIVISIBLE BOTHELL,Bothell WA,98021,47.7918,-122.2243,,47.7918,-122.2243,2461,0
INDIVISIBLE BOULDER,Boulder CO,80302,40.0172,-105.2851,,40.0172,-105.2851,2049,0
INDIVISIBLE BOULDER CITY,Boulder City NV,89005,35.9727,-114.8344,,35.9727,-114.8344,2176,0
"INDIVISIBLE BOULDER CITY, NV.",Boulder City NV,89005,35.9727,-114.8344,,35.9727,-114.8344,2176,0
INDIVISIBLE BOURBON COUNTY,Paris KY,40361,38.2083,-84.245,,38.2083,-84.245,1626,0
INDIVISIBLE BOWIE,Bowie MD,20720,38.9885,-76.791,,38.9885,-76.791,3208,0
INDIVISIBLE BOWIE COUNTY,Texarkana TX,75503,33.4669,-94.0774,,33.4669,-94.0774,1240,0
INDIVISIBLE BOYLE COUNTY,Danville KY,40422,37.6465,-84.7747,,37.6465,-84.7747,1479,0
INDIVISIBLE BRADENTON PRO-GRESSIVE,Bradenton FL,34205,27.4841,-82.5834,,27.4841,-82.5834,2472,0
INDIVISIBLE BRIDGEPORT: WE THE PEOPLE,Bridgeport CT,06605,41.1668,-73.2163,,41.1668,-73.2163,2005,0
INDIVISIBLE BRIDGEWATER - MASSACHUSETTS,Bridgewater MA,02324,41.9773,-70.9723,,41.9773,-70.9723,852,0
INDIVISIBLE BRONX,Bronx NY,10454,40.8085,-73.9198,,40.8085,-73.9198,2480,0
INDIVISIBLE BROOKLYN,Brooklyn NY,11216,40.6794,-73.9496,,40.6794,-73.9496,2283,0
INDIVISIBLE BROOKLYN DO OR DIE,Brooklyn NY,11238,40.679,-73.9644,,40.679,-73.9644,2283,0
INDIVISIBLE BROWARD,Fort Lauderdale FL,33322,26.1502,-80.2745,,26.1502,-80.2745,2950,0
INDIVISIBLE BROWARD #RESIST,Fort Lauderdale FL,33312,26.0968,-80.181,,26.0968,-80.181,2950,0
INDIVISIBLE BRUNSWICK,Ocean Isle Beach NC,28469,33.8913,-78.4298,,33.8913,-78.4298,2041,0
INDIVISIBLE BUCKS COUNTY,Jamison PA,18929,40.2566,-75.09610000000001,,40.2566,-75.09610000000001,1046,0
